Participant name	Recording name	Recording date	timeStamp	pupilLeft	pupilRight	Event	
TZ	Recording005	2016-06-09	23754	3.48045039176941	4.00569629669189		
TZ	Recording005	2016-06-09	23774	3.4783947467804	4.01577711105347		
TZ	Recording005	2016-06-09	23794	3.47778224945068	4.02837228775024		
TZ	Recording005	2016-06-09	23814	3.4762589931488	4.01853084564209		
TZ	Recording005	2016-06-09	23834	3.47460508346558	4.01237487792969		
TZ	Recording005	2016-06-09	23854	3.47178411483765	4.00908327102661		
TZ	Recording005	2016-06-09	23874	3.46993231773376	4.0059380531311		
TZ	Recording005	2016-06-09	23894	3.46595239639282	4.00879621505737		
TZ	Recording005	2016-06-09	23914	3.46298575401306	4.00642347335815		
TZ	Recording005	2016-06-09	23934	3.46107745170593			
TZ	Recording005	2016-06-09	23954	3.46119809150696	3.89122867584229		
TZ	Recording005	2016-06-09	23974	3.45881414413452			
TZ	Recording005	2016-06-09	23994	3.4221396446228			
TZ	Recording005	2016-06-09	24014	3.11472988128662	3.45507884025574		
TZ	Recording005	2016-06-09	24034		3.62225770950317		
TZ	Recording005	2016-06-09	24054		3.28219795227051		
TZ	Recording005	2016-06-09	24074	3.22714447975159			
TZ	Recording005	2016-06-09	24094	3.31224346160889	3.44920921325684		
TZ	Recording005	2016-06-09	24114	3.38061594963074	3.68828368186951		
TZ	Recording005	2016-06-09	24134	3.40411758422852	3.75831031799316		
TZ	Recording005	2016-06-09	24154	3.40673565864563	3.77227878570557		
TZ	Recording005	2016-06-09	24174	3.38616323471069	3.78189468383789		
TZ	Recording005	2016-06-09	24194	3.38458919525146	3.77568602561951		
TZ	Recording005	2016-06-09	24214	3.38454461097717	3.76486110687256		
TZ	Recording005	2016-06-09	24234	3.38517832756042	3.76492071151733		
TZ	Recording005	2016-06-09	24254	3.38749217987061	3.75894999504089		
TZ	Recording005	2016-06-09	24274	3.38177490234375	3.75094747543335		
TZ	Recording005	2016-06-09	24294	3.37208962440491	3.74316501617432		
TZ	Recording005	2016-06-09	24314	3.3738706111908	3.73181653022766		
TZ	Recording005	2016-06-09	24334	3.38348150253296	3.7242648601532		
TZ	Recording005	2016-06-09	24354	3.38236999511719	3.72495293617249		
TZ	Recording005	2016-06-09	24374	3.36030149459839	3.73552775382996		
TZ	Recording005	2016-06-09	24394	3.37714266777039	3.49537134170532		
TZ	Recording005	2016-06-09	24414	3.4246666431427	3.63577198982239		
TZ	Recording005	2016-06-09	24434	3.44105982780457	3.70200967788696		
TZ	Recording005	2016-06-09	24454	3.35717988014221	3.70566987991333		
TZ	Recording005	2016-06-09	24474	3.31018376350403	3.7371723651886		
TZ	Recording005	2016-06-09	24494	3.27223110198975	3.70361614227295		
TZ	Recording005	2016-06-09	24514	3.21080470085144	3.68352961540222		
TZ	Recording005	2016-06-09	24534		3.68659329414368		
TZ	Recording005	2016-06-09	24554		3.67520928382874		
TZ	Recording005	2016-06-09	24574		3.67684435844421		
TZ	Recording005	2016-06-09	24594		3.70983004570007		
TZ	Recording005	2016-06-09	24614	3.36035537719727	3.63781881332397		
TZ	Recording005	2016-06-09	24634		3.53408741950989		
